Country,almond,angelica,anise,anise_seed,apple,apple_brandy,apricot,armagnac,artichoke,asparagus,avocado,bacon,balm,banana,barley,bartlett_pear,basil,bay,bean,beech,beef,beef_broth,beef_liver,beer,beet,bell_pepper,bergamot,berry,bitter_orange,black_bean,black_currant,black_mustard_seed_oil,black_pepper,black_raspberry,black_tea,blackberry,blackberry_brandy,blue_cheese,blueberry,bone_oil,bourbon_whiskey,brandy,brassica,bread,broccoli,brown_rice,brussels_sprout,buckwheat,butter,buttermilk,cabbage,cabernet_sauvignon_wine,cacao,camembert_cheese,cane_molasses,caraway,cardamom,carnation,carob,carrot,cashew,cassava,catfish,cauliflower,caviar,cayenne,celery,celery_oil,cereal,chamomile,champagne_wine,chayote,cheddar_cheese,cheese,cherry,cherry_brandy,chervil,chicken,chicken_broth,chicken_liver,chickpea,chicory,chinese_cabbage,chive,cider,cilantro,cinnamon,citrus,clam,clove,cocoa,coconut,coconut_oil,cod,coffee,cognac,concord_grape,condiment,coriander,corn,corn_grit,cottage_cheese,crab,cranberry,cream,cream_cheese,cucumber,cumin,currant,date,dill,durian,egg,egg_noodle,elderberry,endive,fennel,fenugreek,feta_cheese,fig,fish,flower,fruit,galanga,garlic,gelatin,geranium,gin,ginger,goat_cheese,grape,grape_brandy,grape_juice,grapefruit,green_tea,gruyere_cheese,guava,haddock,ham,hazelnut,herring,holy_basil,honey,hop,horseradish,huckleberry,jasmine,jasmine_tea,juniper_berry,kale,katsuobushi,kidney_bean,kiwi,kohlrabi,kumquat,lamb,lard,laurel,lavender,leaf,leek,lemon,lemon_peel,lemongrass,lentil,lettuce,licorice,lilac_flower_oil,lima_bean,lime_peel_oil,lingonberry,litchi,liver,lobster,lovage,macadamia_nut,macaroni,mace,malt,mandarin,mandarin_peel,mango,maple_syrup,marjoram,mate,meat,melon,milk,mint,mozzarella_cheese,mung_bean,munster_cheese,muscat_grape,mushroom,mussel,mustard,mutton,nectarine,nut,nutmeg,oat,oatmeal,octopus,okra,olive,olive_oil,onion,orange,orange_flower,oregano,ouzo,oyster,palm,papaya,parmesan_cheese,parsley,parsnip,passion_fruit,pea,peach,peanut,peanut_butter,peanut_oil,pear,pear_brandy,pecan,pelargonium,peppermint,peppermint_oil,pimenta,pimento,pineapple,pistachio,plum,popcorn,porcini,pork,pork_liver,pork_sausage,port_wine,potato,potato_chip,prawn,prickly_pear,provolone_cheese,pumpkin,quince,radish,raisin,rapeseed,raspberry,red_kidney_bean,red_wine,rhubarb,rice,roasted_meat,romano_cheese,root,roquefort_cheese,rose,rosemary,rum,rutabaga,rye_bread,rye_flour,saffron,sage,sake,salmon,salmon_roe,sassafras,sauerkraut,sausage,savory,scallion,scallop,seaweed,seed,sesame_oil,sesame_seed,shallot,sheep_cheese,shellfish,sherry,shiitake,shrimp,smoke,smoked_fish,smoked_salmon,sour_cherry,sour_milk,soy_sauce,soybean,soybean_oil,spearmint,squash,squid,star_anise,starch,strawberry,sturgeon_caviar,sumac,sunflower_oil,sweet_potato,swiss_cheese,tabasco_pepper,tamarind,tangerine,tarragon,tea,tequila,thai_pepper,thyme,tomato,tomato_juice,truffle,tuna,turkey,turmeric,turnip,vanilla,veal,vegetable_oil,vinegar,violet,walnut,wasabi,watercress,watermelon,wheat_flour,whiskey,white_wine,wine,wood,yam,yeast,yogurt,zucchini
Japanese,0,0,0,0,0,0,0,0,0,2,4,0,0,0,14,0,2,0,6,0,9,0,0,1,0,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,0,4,0,0,0,8,0,0,0,0,13,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,4,1,4,0,1,1,0,0,2,0,1,0,0,0,0,2,2,0,0,3,0,2,1,12,1,0,0,0,0,19,0,0,0,0,1,0,0,12,0,0,0,24,0,0,0,31,0,0,0,1,0,3,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,5,12,5,0,0,0,0,0,0,0,2,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,28,1,14,1,15,16,2,0,0,4,6,5,0,0,0,0,0,58,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,2,0,39,34,0,0,7,1,0,14,0,1,28,0,0,0,0,0
Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,40,3,0,0,0,9,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,15,0,0,0,12,0,0,0,0,18,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,3,0,0,15,0,0,0,0,0,0,0,9,0,0,0,65,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,9,0,56,40,6,0,0,0,3,9,0,0,0,0,0,78,12,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,28,0,0,0,0,0,9,0,3,15,0,0,0,0,6
Mediterranean,5,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,6,6,2,0,4,0,0,0,0,15,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,2,0,0,0,0,0,0,6,0,0,0,7,10,0,3,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,8,7,1,0,8,0,19,0,0,0,5,0,17,1,9,0,0,0,49,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,1,44,5,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,12,12,1,0,0,0,1,0,1,0,0,4,2,0,0,0,0,14,76,38,10,0,15,1,0,0,0,3,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,12,0,6,0,1,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,1,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,1,0,1,0,3,0,6,15,0,3,0,0,0,25,0,9,2,0,0,2,11,6
Mexican,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,3,2,11,0,18,1,0,0,0,20,0,0,0,7,0,0,53,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,1,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,73,4,1,0,0,0,0,20,20,0,0,0,14,8,0,0,0,0,0,1,25,4,0,0,0,2,0,0,0,0,0,0,0,2,31,1,0,0,0,19,4,1,30,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,27,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,11,1,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,17,68,4,0,19,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,2,0,5,0,0,0,0,0,0,1,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,2,0,1,58,0,0,0,3,0,0,3,0,25,12,0,0,0,0,0,24,0,1,0,0,0,2,0,2
Middle_Eastern,8,0,0,0,5,0,5,0,1,1,0,0,0,0,0,0,2,3,1,0,7,0,0,0,1,9,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,26,0,0,0,0,0,5,1,3,0,0,10,0,0,0,0,0,11,3,0,0,0,0,0,0,1,0,0,0,9,9,0,5,0,0,2,0,10,19,0,0,0,3,1,0,0,1,0,0,0,9,2,0,1,0,0,7,1,4,18,1,3,6,0,38,1,0,0,1,2,2,1,3,0,0,0,30,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,3,40,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,8,10,0,0,0,0,1,0,1,0,0,4,2,0,0,0,0,4,39,33,14,0,3,0,0,0,0,1,19,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,1,0,4,0,4,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,8,0,0,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,0,1,0,2,0,0,0,0,0,0,0,0,5,15,0,0,0,0,5,1,7,1,20,6,0,7,0,0,0,44,0,3,1,0,1,2,8,4
North_African,12,0,1,0,1,0,6,0,0,0,0,0,0,0,1,0,3,2,4,0,9,2,0,0,1,31,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,18,0,0,0,0,0,1,8,4,0,0,16,0,0,0,1,0,31,5,0,0,0,0,0,0,1,0,0,1,21,16,0,15,0,0,0,0,25,38,0,0,0,0,2,0,1,0,0,0,0,31,1,0,0,0,1,4,0,3,52,2,3,1,0,9,0,0,0,5,2,1,1,6,1,0,0,46,0,0,0,24,1,0,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,14,3,0,0,0,1,48,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,13,0,0,0,0,1,0,1,0,0,2,3,0,0,0,0,16,65,51,12,0,1,0,0,0,0,1,23,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,9,0,0,0,0,0,0,1,14,0,0,0,6,0,3,0,0,0,0,2,1,0,1,0,0,11,0,0,0,0,0,0,0,0,4,0,0,5,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,29,0,0,0,0,16,2,1,1,14,7,0,2,0,0,0,39,0,3,1,0,0,3,2,10
Portuguese_Spanish,7,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,2,10,4,0,7,1,0,0,0,35,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,15,0,2,0,0,0,3,0,0,0,0,4,0,1,0,0,0,21,3,1,0,0,0,0,0,4,0,0,0,10,12,0,2,0,0,2,0,7,6,0,5,0,1,0,0,1,0,0,0,0,1,5,0,0,0,0,7,1,6,9,0,0,0,0,28,0,0,0,1,0,0,0,6,0,0,0,54,1,0,0,1,0,1,0,1,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,16,2,0,0,0,0,2,2,2,0,0,1,2,0,0,0,0,9,57,46,12,0,7,0,0,0,0,0,24,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,0,12,0,13,0,0,0,0,0,1,0,2,0,0,0,8,0,8,0,0,0,0,0,2,1,0,0,0,10,0,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,0,13,0,9,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,6,34,2,0,1,1,1,0,6,0,11,24,0,0,0,0,0,17,0,12,3,0,0,3,0,1
Scandinavian,18,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,1,0,0,4,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,64,3,3,0,0,0,12,4,13,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,2,0,15,0,0,0,2,1,0,0,1,0,0,0,3,3,0,0,0,0,28,0,4,3,1,0,10,0,52,0,0,0,1,2,0,0,2,0,1,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,12,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,8,0,0,0,5,2,0,0,0,0,4,15,10,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,2,12,0,0,0,0,0,0,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,7,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,15,1,13,15,0,3,0,0,0,59,0,5,1,0,0,9,0,0
South_African,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,37,0,0,31,12,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,37,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,0,0,6,6,0,6,0,0,0,0,37,0,0,0,0,0,12,0,0,37,0,0,0,0,31,0,0,0,0,37,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,18,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,43,0,18,0,25,37,0,0,0,0,0,25,0,0,0,0,0,0,6,0
South_American,4,0,0,1,0,0,0,0,0,0,9,3,0,2,0,0,0,5,3,0,11,1,0,0,0,17,0,0,0,4,0,0,40,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,21,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0,41,3,0,0,0,0,2,3,14,0,0,0,10,10,0,0,0,0,1,1,25,10,0,0,0,6,4,0,0,2,0,0,0,4,25,1,0,0,0,14,1,0,22,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,28,50,9,0,12,0,0,0,0,1,11,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,4,0,9,0,0,0,0,1,0,1,4,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,1,0,0,2,0,4,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,34,0,0,0,0,1,0,8,0,21,15,0,0,0,0,0,20,0,2,0,0,0,2,0,1
South_Asian,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,30,0,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,39,0,0,8,4,0,0,0,0,69,4,0,0,0,0,0,0,0,0,0,0,34,4,0,4,0,0,0,0,43,30,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,4,0,0,60,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,82,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,78,4,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,0,0,8,0,0,0,0,0,30,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,65,0,0,0,69,13,0,4,0,0,0,4,0,0,0,0,0,0,30,8
Southeast_Asian,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,2,13,0,12,1,0,0,0,15,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,7,0,6,0,0,0,11,0,0,0,0,15,1,0,0,0,0,41,2,1,0,0,0,0,0,0,0,0,0,29,15,0,0,0,0,1,1,35,3,0,0,0,0,28,0,0,0,0,0,0,26,4,0,0,2,0,3,0,11,22,0,0,0,0,13,0,0,0,0,15,0,0,49,0,0,6,62,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,21,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,4,16,0,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,7,27,0,0,1,0,4,2,1,0,1,0,0,4,0,17,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,2,10,2,15,0,0,1,3,17,0,0,0,0,0,31,5,0,0,1,1,3,5,0,0,0,0,0,0,2,4,0,0,0,0,8,0,11,0,0,0,0,19,0,1,0,39,21,0,0,0,1,0,9,0,3,4,0,0,1,0,1
West_African,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,38,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,7,0,0,0,0,15,0,7,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,30,30,0,15,0,0,0,0,7,7,0,0,0,0,15,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,30,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,30,84,0,0,0,0,0,0,0,0,0,0,0,0,0,23,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,7,61,0,0,0,0,0,0,0,0,38,15,0,0,0,0,0,15,0,0,0,0,0,0,0,7
West_European,13,0,6,0,11,0,2,0,0,0,0,10,0,0,0,0,0,6,1,0,10,4,0,2,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,53,2,5,0,0,0,15,4,2,0,0,5,0,0,0,0,0,1,5,1,0,0,0,0,2,3,2,0,0,2,4,0,0,0,0,1,4,0,21,3,0,0,6,1,0,0,1,0,0,0,1,3,0,0,0,0,15,1,1,1,0,0,4,0,61,1,0,0,0,1,0,0,0,0,2,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,33,0,0,0,0,0,2,0,8,0,0,2,13,0,0,0,0,0,1,30,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,3,0,13,0,0,0,0,0,0,0,7,0,1,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,6,2,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,16,1,16,17,0,5,0,0,0,69,0,5,0,0,0,9,0,0
